unique_id,ds,cutoff,y,LightGBM,fit_time_seconds
69,2023-01-28 00:00:00,2023-01-27 15:00:00,7.849547e-09,7.13310771525027e-09,370.8677318096161
69,2023-01-28 03:00:00,2023-01-27 15:00:00,1.0407817e-08,8.667635588348711e-09,370.8677318096161
69,2023-01-28 06:00:00,2023-01-27 15:00:00,9.032819e-09,8.980906302983238e-09,370.8677318096161
69,2023-01-28 09:00:00,2023-01-27 15:00:00,8.271968e-09,8.959472915116191e-09,370.8677318096161
69,2023-01-28 12:00:00,2023-01-27 15:00:00,1.5486698e-08,5.2792199947527544e-09,370.8677318096161
69,2023-01-28 15:00:00,2023-01-27 15:00:00,1.04370805e-08,3.947848329547669e-09,370.8677318096161
70,2023-01-27 18:00:00,2023-01-27 15:00:00,5.8143712e-11,2.3230640668868197e-11,370.8677318096161
70,2023-01-27 21:00:00,2023-01-27 15:00:00,2.9119462e-10,8.779060559524692e-10,370.8677318096161
70,2023-01-28 00:00:00,2023-01-27 15:00:00,7.334991e-09,6.560337516445617e-09,370.8677318096161
70,2023-01-28 03:00:00,2023-01-27 15:00:00,9.435322e-09,8.030785853372177e-09,370.8677318096161
70,2023-01-28 06:00:00,2023-01-27 15:00:00,8.24147e-09,8.47888356099438e-09,370.8677318096161
70,2023-01-28 09:00:00,2023-01-27 15:00:00,9.857615e-09,8.780891883539403e-09,370.8677318096161
70,2023-01-28 12:00:00,2023-01-27 15:00:00,1.2505801e-08,4.340401548141526e-09,370.8677318096161
70,2023-01-28 15:00:00,2023-01-27 15:00:00,8.788952e-09,3.5538863134467453e-09,370.8677318096161
71,2023-01-27 18:00:00,2023-01-27 15:00:00,2.889422e-11,2.3084618120331758e-10,370.8677318096161
71,2023-01-27 21:00:00,2023-01-27 15:00:00,1.8894397e-10,1.5826693405278149e-09,370.8677318096161
71,2023-01-28 00:00:00,2023-01-27 15:00:00,6.242814e-09,6.937346128712642e-09,370.8677318096161
71,2023-01-28 03:00:00,2023-01-27 15:00:00,7.404054e-09,8.57259855119747e-09,370.8677318096161
71,2023-01-28 06:00:00,2023-01-27 15:00:00,8.237302e-09,9.253223214630218e-09,370.8677318096161
71,2023-01-28 09:00:00,2023-01-27 15:00:00,1.0848986e-08,9.739666376386872e-09,370.8677318096161
71,2023-01-28 12:00:00,2023-01-27 15:00:00,1.1807593e-08,4.611712353821704e-09,370.8677318096161
71,2023-01-28 15:00:00,2023-01-27 15:00:00,7.8335916e-09,3.545790853453393e-09,370.8677318096161
72,2023-01-27 18:00:00,2023-01-27 15:00:00,1.513456e-12,3.721475339644948e-10,370.8677318096161
72,2023-01-27 21:00:00,2023-01-27 15:00:00,1.663782e-09,2.2000571880992883e-09,370.8677318096161
