pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,66,NBEATS-G,9.37271549793194e-09,3.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,NHITS,9.39630314292016e-09,4.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,LSTM,9.880889953015118e-09,5.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,GRU,9.883200401590087e-09,6.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,RandomForest,1.0523464616102576e-08,7.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Informer,1.091509650267229e-08,8.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Theta,1.127940619271117e-08,9.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Arima,1.1734261065284406e-08,10.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,SeasonalNaive-8,1.1734261065284406e-08,10.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,XGBoost,1.202457469573685e-08,12.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,ETS,1.2240002927044214e-08,13.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,SeasonalNaive-56,1.2525884389049539e-08,14.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Naive,1.4171500842044352e-08,15.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,67,LightGBM,8.9049697113479e-09,1.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NBEATS-I,9.15569892325979e-09,2.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NBEATS-G,9.196924751373874e-09,3.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NHITS,9.254360700903053e-09,4.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,GRU,9.927026689721767e-09,5.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,LSTM,1.0048105122642675e-08,6.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,RandomForest,1.0506820637569908e-08,7.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Informer,1.1226225395836388e-08,8.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Theta,1.130367286674478e-08,9.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Arima,1.1775312430553848e-08,10.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,SeasonalNaive-8,1.1775312430553848e-08,10.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,XGBoost,1.2242634980543476e-08,12.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,SeasonalNaive-56,1.2456459743337941e-08,13.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,ETS,1.3009464415215116e-08,14.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Naive,1.443148004843318e-08,15.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,68,LightGBM,8.643864658361795e-09,1.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NBEATS-I,8.69230289910578e-09,2.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NBEATS-G,8.7387616680341e-09,3.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NHITS,8.788289071835897e-09,4.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,GRU,9.475840341666623e-09,5.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,LSTM,9.7012128941385e-09,6.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,RandomForest,1.032397671109298e-08,7.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Theta,1.0716405548214156e-08,8.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Arima,1.0933954009312718e-08,9.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,SeasonalNaive-8,1.0933954009312718e-08,9.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Informer,1.1169341046702351e-08,11.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,ETS,1.1407624602371209e-08,12.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,SeasonalNaive-56,1.172964655456792e-08,13.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,XGBoost,1.2317809362575102e-08,14.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Naive,1.3998061109766191e-08,15.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NBEATS-I,8.62200307373316e-09,1.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NBEATS-G,8.632586243914781e-09,2.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,LightGBM,8.680521961167045e-09,3.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NHITS,8.685107010317932e-09,4.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,GRU,9.353749068228262e-09,5.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,LSTM,9.607572705509384e-09,6.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,RandomForest,1.0220906402608101e-08,7.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Theta,1.0836597120525643e-08,8.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Arima,1.1050164041017904e-08,9.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,SeasonalNaive-8,1.1050164041017904e-08,9.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Informer,1.1223206796577986e-08,11.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,SeasonalNaive-56,1.1739166618350506e-08,12.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,ETS,1.2062715886352866e-08,13.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,XGBoost,1.2265788397726748e-08,14.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Naive,1.3979210732301577e-08,15.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NBEATS-I,8.662847753699492e-09,1.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NBEATS-G,8.701542063118432e-09,2.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NHITS,8.765569407128964e-09,3.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,LightGBM,8.967716830308687e-09,4.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,GRU,9.557188380522664e-09,5.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
